Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740741751798,1506,2300,1506,2300,2300,1488,1488,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,26.82624053955078,80.49833679199219,0,0,95.49081420898438,0,0,0,99557.82177734375,55207.28973388672,4575.9327392578125,16794431488,6979321856,5479145472,0
200,1740741751798,1506,2300,1506,2300,2300,1488,1488,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,0,0,12.282669067382813,0,0,0,0,0,0,0,0,0,0,23.62847137451172,37.37651062011719,0,0,12.425605773925781,3.854400634765625,0,0,99558.02862548828,55207.463928222656,4575.9327392578125,16794431488,6979321856,5479645184,0
200,1740741751999,1506,2300,1506,2300,2300,1488,1488,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,0.6773757934570313,0.7136611938476563,0.704833984375,0.70458984375,0.68560791015625,0.6801681518554688,0.68463134765625,0.6848297119140625,0.697723388671875,0.697479248046875,0.697235107421875,0.6967926025390625,0.677032470703125,0.8440475463867188,1.3594512939453125,0.6766357421875,0.6688919067382813,21.69786834716797,1.022186279296875,0.6810989379882813,0,99558.63946533203,55207.75274658203,4575.933288574219,16794431488,6979321856,5479903232,0
200,1740741752199,1506,2300,1506,2300,2300,1488,1488,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2779693603515625,0,0,11.509498596191406,0,0,0,99559.06030273438,55207.78680419922,4575.933288574219,16794431488,6979321856,5475520512,0
199,1740741752400,1506,2300,1506,2300,2300,1488,1488,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,0.36368560791015625,0.7930068969726563,0.376617431640625,0.37646484375,0.412628173828125,0.4132232666015625,0.4100494384765625,0.40287017822265625,0.4353179931640625,0.4359588623046875,0.45795440673828125,0.48609161376953125,0.35833740234375,1.004425048828125,5.830253601074219,0.340057373046875,0.269073486328125,15.251617431640625,0.35442352294921875,0.354278564453125,0,99559.3941040039,55207.86346435547,4575.933654785156,16794431488,6979321856,5475495936,0
200,1740741752601,1506,2300,1506,2300,2300,1488,1488,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,0.11676025390625,0.11650848388671875,0.11490631103515625,0.1148529052734375,0.109893798828125,0.109893798828125,0.1095428466796875,0.1093902587890625,0.1109466552734375,0.1107940673828125,0.1106414794921875,0.1104888916015625,0.11565399169921875,0.2575836181640625,16.20549774169922,0.1173095703125,0.1060791015625,5.209724426269531,0.1162109375,0.1161041259765625,0,99559.82147216797,55208.13525390625,4575.933654785156,16794431488,6979321856,5475495936,0
199,1740741752801,1506,2300,1506,2300,2300,1488,1488,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,0,0.0009002685546875,0,0,0,0,0,0,0,0,0,0,0,0,0.12493133544921875,0,0,8.496826171875,0,0,0,99559.95837402344,55208.16296386719,4575.933654785156,16794431488,6979321856,5475344384,0
200,1740741753001,1506,2300,1506,2300,2300,1488,1488,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,0.41989898681640625,0.71002197265625,0.41944122314453125,0.41994476318359375,0.576995849609375,0.5767440795898438,0.5770416259765625,0.5768966674804688,0.575439453125,0.575286865234375,0.5747909545898438,0.5746841430664063,0.42024993896484375,0.4208526611328125,1.3484954833984375,0.5669174194335938,0.45389556884765625,21.357093811035156,0.41869354248046875,0.41939544677734375,0,99560.36694335938,55208.40997314453,4575.933654785156,16794431488,6979321856,5475344384,0
199,1740741753203,1506,2300,1506,2300,2300,1488,1488,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,1.066558837890625,0.21087646484375,0.20812225341796875,0.2077789306640625,0.253326416015625,0.25244140625,0.25189971923828125,0.25145721435546875,0.29769134521484375,0.2973480224609375,0.29685211181640625,0.2964630126953125,0.20993804931640625,0.2095947265625,1.5041732788085938,0.20733642578125,0.20188140869140625,12.873886108398438,0.20940399169921875,0.2091064453125,0,99560.693359375,55208.522888183594,4575.934143066406,16794431488,6979321856,5475274752,0
200,1740741753403,1506,2300,1506,2300,2300,1488,1488,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,2300,2300,0.19243621826171875,0.7469482421875,0.23424530029296875,0.234100341796875,0.23294830322265625,0.23769378662109375,0.23195648193359375,0.23714447021484375,0.201416015625,0.19168853759765625,0.19158935546875,0.19113922119140625,0.23868560791015625,0.23858642578125,3.024871826171875,1.1673507690429688,0.18115997314453125,10.248542785644531,0.23419952392578125,0.23400115966796875,0,99560.90240478516,55208.55847167969,4575.9342041015625,16794431488,6979321856,5474840576,0
