Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740741631425,1506,1506,2300,2300,2300,1488,1488,2300,2300,2300,2300,2300,1506,2300,2300,2300,2300,2300,1506,2300,42.08487319946289,42.077369689941406,41.7471809387207,43.60542678833008,42.506988525390625,42.502296447753906,42.50792694091797,42.504173278808594,42.52387237548828,42.51918411254883,42.51730728149414,42.51918411254883,41.94792175292969,41.945106506347656,69.09835815429688,41.80815505981445,41.635555267333984,100,41.753746032714844,41.74905776977539,0,99285.75317382813,55063.547912597656,4575.81884765625,16794431488,6979321856,5530439680,0
201,1740741631425,1506,1506,2300,2300,2300,1488,1488,2300,2300,2300,2300,2300,1506,2300,2300,2300,2300,2300,1506,2300,0,0,0,14.194358825683594,0,0,0,0,0,0,0,0,0,0,25.372467041015625,0,0,51.2093391418457,0,0,0,99286.2026977539,55063.93048095703,4575.81884765625,16794431488,6979321856,5531070464,0
200,1740741631627,1506,1506,2300,2300,2300,1488,1488,2300,2300,2300,2300,2300,1506,2300,2300,2300,2300,2300,1506,2300,8.249107360839844,1.3823928833007813,1.0638656616210938,5.000923156738281,1.132293701171875,1.1317062377929688,1.1252059936523438,1.1224136352539063,1.1666488647460938,1.1700210571289063,1.1524276733398438,1.1658706665039063,1.0679702758789063,1.0679702758789063,13.396469116210938,1.076568603515625,1.0487594604492188,23.71514129638672,1.0592193603515625,1.05926513671875,0,99286.95892333984,55064.24011230469,4575.81884765625,16794431488,6979321856,5522370560,0
200,1740741631828,1506,1506,2300,2300,2300,1488,1488,2300,2300,2300,2300,2300,1506,2300,2300,2300,2300,2300,1506,2300,0.07851409912109375,0.07807159423828125,0.08269500732421875,0.08249664306640625,0.1385650634765625,0.13836669921875,0.1380767822265625,0.13787841796875,0.13836669921875,0.1380767822265625,0.1379241943359375,0.13758087158203125,0.07787322998046875,0.07757568359375,3.1475601196289063,0.08481597900390625,0.0762481689453125,7.7767181396484375,0.08373260498046875,0.08333587646484375,0,99287.14416503906,55064.31964111328,4575.81884765625,16794431488,6979321856,5521657856,0
199,1740741632028,1506,1506,2300,2300,2300,1488,1488,2300,2300,2300,2300,2300,1506,2300,2300,2300,2300,2300,1506,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.247222900390625,0,0,23.580169677734375,0,0,0,99287.55499267578,55064.46826171875,4575.818908691406,16794431488,6979321856,5520535552,0
200,1740741632229,1506,1506,2300,2300,2300,1488,1488,2300,2300,2300,2300,2300,1506,2300,2300,2300,2300,2300,1506,2300,1.8503799438476563,1.429351806640625,1.4248046875,3.6087493896484375,1.45709228515625,1.45709228515625,1.4566497802734375,1.4563064575195313,1.4577255249023438,1.4574356079101563,1.4571914672851563,1.4571380615234375,1.4270553588867188,1.4268569946289063,4.572563171386719,1.428863525390625,1.4131622314453125,26.530609130859375,1.426422119140625,1.4262237548828125,0,99288.37298583984,55064.79626464844,4575.818908691406,16794431488,6979321856,5516468224,0
200,1740741632429,1506,1506,2300,2300,2300,1488,1488,2300,2300,2300,2300,2300,1506,2300,2300,2300,2300,2300,1506,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.187591552734375,0,0,4.113456726074219,0,0,0,99288.49102783203,55064.81072998047,4575.818908691406,16794431488,6979321856,5516279808,0
200,1740741632630,1506,1506,2300,2300,2300,1488,1488,2300,2300,2300,2300,2300,1506,2300,2300,2300,2300,2300,1506,2300,1.9418487548828125,2.435302734375,1.941253662109375,1.9413070678710938,1.964111328125,1.9639663696289063,1.9640121459960938,1.9640579223632813,1.9739913940429688,1.9738922119140625,1.9738922119140625,1.97393798828125,1.9395828247070313,1.9396820068359375,2.1734848022460938,1.9397811889648438,1.9333953857421875,9.178611755371094,1.9401779174804688,1.9402694702148438,0,99288.65911865234,55064.84100341797,4575.818908691406,16794431488,6979321856,5516029952,0
199,1740741632831,1506,1506,2300,2300,2300,1488,1488,2300,2300,2300,2300,2300,1506,2300,2300,2300,2300,2300,1506,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053680419921875,0,0,22.640548706054688,0,0,0,99289.01330566406,55065.017822265625,4575.818908691406,16794431488,6979321856,5515935744,0
200,1740741633031,1506,1506,2300,2300,2300,1488,1488,2300,2300,2300,2300,2300,1506,2300,2300,2300,2300,2300,1506,2300,0.7139129638671875,1.0753936767578125,0.7132186889648438,0.71331787109375,0.7137603759765625,0.7137603759765625,0.7138137817382813,0.714111328125,0.6928024291992188,0.692657470703125,0.6925582885742188,0.7026443481445313,0.712677001953125,0.7128753662109375,1.1545257568359375,0.6929550170898438,0.6865310668945313,9.297409057617188,0.7143096923828125,0.7470779418945313,0,99289.16479492188,55065.04724121094,4575.818908691406,16794431488,6979321856,5514567680,0
200,1740741633232,1506,1506,2300,2300,2300,1488,1488,2300,2300,2300,2300,2300,1506,2300,2300,2300,2300,2300,1506,2300,0.5385055541992188,0.0926361083984375,0,0,0,0,0,0,0,0,0,0,0,0,2.5278701782226563,0,0,22.438461303710938,0,0,0,99289.71765136719,55065.31231689453,4575.818908691406,16794431488,6979321856,5514420224,0
200,1740741633433,1506,1506,2300,2300,2300,1488,1488,2300,2300,2300,2300,2300,1506,2300,2300,2300,2300,2300,1506,2300,0.5790481567382813,0.5786056518554688,0.58013916015625,0.5719757080078125,0.6961441040039063,0.6545562744140625,0.6523818969726563,0.7000045776367188,0.6445693969726563,0.6441726684570313,0.6385879516601563,0.6482772827148438,0.6143035888671875,0.614501953125,0.8226318359375,0.5733642578125,0.47589874267578125,7.971397399902344,0.5555572509765625,0.5554580688476563,0,99289.83361816406,55065.33544921875,4575.818908691406,16794431488,6979321856,5514293248,0
199,1740741633635,1506,1506,2300,2300,2300,1488,1488,2300,2300,2300,2300,2300,1506,2300,2300,2300,2300,2300,1506,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7778854370117188,0,0,8.586174011230469,0,0,0,99290.12487792969,55065.36340332031,4575.819030761719,16794431488,6979321856,5513953280,0
