Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740654127957,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,8,29.16666603088379,37.5,8,29.16666603088379,8.333333969116211,4.1666669845581055,36,12.5,4.1666669845581055,8,8,17146.017028808594,139625.1973876953,110441.25201416016,131.0809326171875,16567197696,2147479552,2632835072,786432
199,1740654127958,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,8,29.16666603088379,37.5,8,29.16666603088379,8.333333969116211,4.1666669845581055,36,12.5,4.1666669845581055,8,8,17146.018188476563,139625.20574951172,110441.25793457031,131.0809326171875,16567197696,2147479552,2632835072,786432
199,1740654128158,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,0,28.571430206298828,0,0,0,0,4.761904716491699,30.000001907348633,0,0,35,80,17146.13702392578,139626.13897705078,110442.01721191406,131.0809326171875,16567197696,2147479552,2636279808,786432
199,1740654128358,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,0,28.571430206298828,0,0,0,0,4.761904716491699,30.000001907348633,0,0,35,80,17146.25421142578,139627.0112915039,110442.70135498047,131.0809326171875,16567197696,2147479552,2636308480,786432
199,1740654128558,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,27.5,18.91891860961914,21.95121955871582,0,2.4390242099761963,31.707317352294922,0,5.263157844543457,0,0,27.5,15.000000953674316,17146.37823486328,139627.95782470703,110443.4301147461,131.0809326171875,16567197696,2147479552,2641694720,786432
199,1740654128758,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,0,20,0,0,0,20,68.42105102539063,30.000001907348633,10.526315689086914,28.571430206298828,22.22222328186035,0,17146.505737304688,139629.02716064453,110444.25177001953,131.0809326171875,16567197696,2147479552,2640265216,786432
199,1740654128958,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,35,15.000000953674316,5,0,0,21.052631378173828,10,10,47.619049072265625,36.842105865478516,25,0,17146.632446289063,139630.09991455078,110445.07751464844,131.0809326171875,16567197696,2147479552,2641793024,786432
199,1740654129158,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,5.263157844543457,4.761904716491699,15.789472579956055,9.523809432983398,0,15.789472579956055,31.57894515991211,52.38095474243164,11.111111640930176,4.761904716491699,33.333335876464844,5,17146.758666992188,139631.16510009766,110445.89324951172,131.0809326171875,16567197696,2147479552,2642284544,786432
199,1740654129358,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,9.523809432983398,11.111111640930176,5.263157844543457,0,0,15.000000953674316,38.095237731933594,50,42.85714340209961,0,23.809524536132813,0,17146.884765625,139632.2235107422,110446.70477294922,131.0809326171875,16567197696,2147479552,2643095552,786432
199,1740654129558,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,31.57894515991211,21.052631378173828,9.523809432983398,40,0,10,5.263157844543457,14.285715103149414,15.000000953674316,36.842105865478516,11.111111640930176,5,17147.019897460938,139633.31030273438,110447.54010009766,131.0809326171875,16567197696,2147479552,2636210176,786432
199,1740654129759,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,10.526315689086914,26.3157901763916,5.555555820465088,5.263157844543457,31.57894515991211,0,10,44.4444465637207,36.842105865478516,5.263157844543457,0,10.526315689086914,17147.146911621094,139634.39654541016,110448.37518310547,131.0809326171875,16567197696,2147479552,2638221312,786432
199,1740654129959,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,10.526315689086914,26.3157901763916,5.555555820465088,5.263157844543457,31.57894515991211,0,10,44.4444465637207,36.842105865478516,5.263157844543457,0,10.526315689086914,17147.273315429688,139635.45281982422,110449.18688964844,131.0809326171875,16567197696,2147479552,2641293312,786432
199,1740654130159,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,7.500000476837158,26.3157901763916,12.820513725280762,10,2.5,15.384615898132324,19.51219367980957,42.85714340209961,5.128205299377441,21.95121955871582,27.5,17.5,17147.401977539063,139636.51928710938,110450.00109863281,131.0809326171875,16567197696,2147479552,2635956224,786432
199,1740654130359,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,15.000000953674316,15.000000953674316,42.85714340209961,15.000000953674316,5,21.052631378173828,0,33.333335876464844,40,0,0,19.047618865966797,17147.53533935547,139637.59735107422,110450.8295288086,131.0809326171875,16567197696,2147479552,2638790656,786432
199,1740654130559,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,15.000000953674316,15.000000953674316,42.85714340209961,15.000000953674316,5,21.052631378173828,0,33.333335876464844,40,0,0,19.047618865966797,17147.6630859375,139638.67016601563,110451.65808105469,131.0809326171875,16567197696,2147479552,2642153472,786432
199,1740654130759,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,31.707317352294922,20,37.5,23.076923370361328,20.512821197509766,20.512821197509766,0,2.5,20.512821197509766,10.526315689086914,5.128205299377441,5.128205299377441,17147.7900390625,139639.7357788086,110452.47369384766,131.0809326171875,16567197696,2147479552,2643091456,786432
199,1740654130959,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,31.707317352294922,20,37.5,23.076923370361328,20.512821197509766,20.512821197509766,0,2.5,20.512821197509766,10.526315689086914,5.128205299377441,5.128205299377441,17147.916564941406,139640.7989501953,110453.28704833984,131.0809326171875,16567197696,2147479552,2645389312,786432
199,1740654131159,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,51.28205490112305,17.948719024658203,0,5.263157844543457,12.820513725280762,20.512821197509766,20,20.512821197509766,2.5641026496887207,27.5,7.500000476837158,12.820513725280762,17148.043395996094,139641.86975097656,110454.11431884766,131.0809326171875,16567197696,2147479552,2646536192,786432
199,1740654131359,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,47.36842346191406,4.761904716491699,5.263157844543457,22.72727394104004,42.85714340209961,26.3157901763916,0,5,5.263157844543457,42.85714340209961,0,4.761904716491699,17148.170532226563,139642.95861816406,110454.95520019531,131.0809326171875,16567197696,2147479552,2648051712,786432
199,1740654131559,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,52.38095474243164,0,35,10.526315689086914,36.842105865478516,21.052631378173828,4.761904716491699,15.000000953674316,9.523809432983398,0,10,0,17148.300903320313,139644.03125,110455.7739868164,131.0809326171875,16567197696,2147479552,2653184000,786432
199,1740654131759,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,52.38095474243164,0,35,10.526315689086914,36.842105865478516,21.052631378173828,4.761904716491699,15.000000953674316,9.523809432983398,0,10,0,17148.42645263672,139645.0932006836,110456.59289550781,131.0809326171875,16567197696,2147479552,2655481856,786432
199,1740654131960,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,44.4444465637207,30.76923179626465,0,5.128205299377441,40,25.641027450561523,20,7.692307949066162,0,5.128205299377441,10,2.5641026496887207,17148.553771972656,139646.17022705078,110457.41900634766,131.0809326171875,16567197696,2147479552,2655907840,786432
199,1740654132160,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,50,21.052631378173828,35,15.789472579956055,0,30.000001907348633,0,5,0,5,15.789472579956055,10,17148.67987060547,139647.2392578125,110458.24206542969,131.0809326171875,16567197696,2147479552,2654134272,786432
199,1740654132360,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,50,21.052631378173828,0,0,25,15.789472579956055,15.789472579956055,36.842105865478516,5,5.263157844543457,20,0,17148.806701660156,139648.31079101563,110459.0659790039,131.0809326171875,16567197696,2147479552,2642042880,786432
199,1740654132560,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,52.6315803527832,21.052631378173828,5,0,14.285715103149414,15.000000953674316,20,35,5,0,10,35,17148.935302734375,139649.39678955078,110459.90460205078,131.0810546875,16567197696,2147479552,2626760704,786432
199,1740654132760,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,35,26.3157901763916,10.526315689086914,14.285715103149414,0,9.523809432983398,15.000000953674316,10,0,0,35,36.842105865478516,17149.062744140625,139650.46252441406,110460.72265625,131.0810546875,16567197696,2147479552,2627108864,786432
199,1740654132960,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,47.36842346191406,26.3157901763916,35,10,5.263157844543457,0,10.526315689086914,9.523809432983398,0,42.85714340209961,0,5,17149.189208984375,139651.5316772461,110461.54473876953,131.0810546875,16567197696,2147479552,2627301376,786432
199,1740654133160,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,47.36842346191406,26.3157901763916,35,10,5.263157844543457,0,10.526315689086914,9.523809432983398,0,42.85714340209961,0,5,17149.31622314453,139652.6063232422,110462.37158203125,131.0810546875,16567197696,2147479552,2627207168,786432
199,1740654133360,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,0,25,47.36842346191406,10,10.526315689086914,31.57894515991211,21.052631378173828,35,14.285715103149414,0,0,0,17149.442810058594,139653.6551513672,110463.17364501953,131.0810546875,16567197696,2147479552,2626617344,786432
199,1740654133560,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,15.789472579956055,15.789472579956055,40,0,25,10,20,35,0,5.263157844543457,25,5.263157844543457,17149.57208251953,139654.73083496094,110464.00079345703,131.0810546875,16567197696,2147479552,2622222336,786432
199,1740654133761,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,47.36842346191406,25,10,10.526315689086914,0,10,5.263157844543457,5,0,0,45,38.095237731933594,17149.698974609375,139655.82159423828,110464.83966064453,131.0810546875,16567197696,2147479552,2625904640,786432
199,1740654133961,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,47.619049072265625,21.052631378173828,0,36.842105865478516,0,9.523809432983398,15.000000953674316,0,5,0,42.85714340209961,20,17149.82598876953,139656.91149902344,110465.68310546875,131.0810546875,16567197696,2147479552,2627633152,786432
199,1740654134161,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,50,21.052631378173828,0,33.333335876464844,10,5.263157844543457,10.526315689086914,35,5,0,0,0,17149.953674316406,139657.9825439453,110466.50665283203,131.0810546875,16567197696,2147479552,2625015808,786432
199,1740654134361,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,52.38095474243164,21.052631378173828,36.842105865478516,5,19.047618865966797,45,15.000000953674316,4.761904716491699,0,10,14.285715103149414,0,17150.080444335938,139659.0584716797,110467.33544921875,131.0810546875,16567197696,2147479552,2627497984,786432
199,1740654134561,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,47.36842346191406,10,0,22.22222328186035,0,45,15.000000953674316,0,5,19.047618865966797,31.57894515991211,0,17150.209228515625,139660.1381225586,110468.16668701172,131.0810546875,16567197696,2147479552,2625843200,786432
199,1740654134761,1100,1100,1100,1100,1100,1099,1099,1100,1099,1100,1099,1099,50,0,10.526315689086914,23.809524536132813,36.842105865478516,16.666667938232422,0,25,0,11.111111640930176,5,4.761904716491699,17150.33447265625,139661.20404052734,110468.98681640625,131.0810546875,16567197696,2147479552,2629332992,786432
