Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740650428890,1200,1200,1200,1200,1200,1200,1200,1200,1198,1199,1200,1200,7.692307949066162,7.692307949066162,7.692307949066162,14.814814567565918,26.923078536987305,11.538461685180664,10.714285850524902,14.814814567565918,30.76923179626465,48.14814758300781,7.692307949066162,18.518518447875977,14869.387573242188,122108.2163696289,96829.42211914063,124.4005126953125,16567197696,2147479552,2655457280,786432
199,1740650428890,1200,1200,1200,1200,1200,1200,1200,1200,1198,1199,1200,1200,7.692307949066162,7.692307949066162,7.692307949066162,14.814814567565918,26.923078536987305,11.538461685180664,10.714285850524902,14.814814567565918,30.76923179626465,48.14814758300781,7.692307949066162,18.518518447875977,14869.388305664063,122108.2216796875,96829.42712402344,124.4005126953125,16567197696,2147479552,2655457280,786432
199,1740650429090,1200,1200,1200,1200,1200,1200,1200,1200,1198,1199,1200,1200,0,10,9.523809432983398,0,60.000003814697266,25,0,0,15.000000953674316,0,0,5.263157844543457,14869.505920410156,122109.0380859375,96830.07629394531,124.4005126953125,16567197696,2147479552,2658029568,786432
199,1740650429291,1200,1200,1200,1200,1200,1200,1200,1200,1198,1199,1200,1200,0,19.047618865966797,0,0,0,20,0,63.15789031982422,15.789472579956055,0,4.761904716491699,85,14869.625,122109.97375488281,96830.84185791016,124.4005126953125,16567197696,2147479552,2654904320,786432
199,1740650429491,1200,1200,1200,1200,1200,1200,1200,1200,1198,1199,1200,1200,0,5.263157844543457,55,0,0,0,0,30.000001907348633,20,0,15.000000953674316,0,14869.744750976563,122110.7974243164,96831.49578857422,124.4005126953125,16567197696,2147479552,2652102656,786432
199,1740650429691,1200,1200,1200,1200,1200,1200,1200,1200,1198,1199,1200,1200,0,23.809524536132813,4.761904716491699,0,0,10,28.571430206298828,38.095237731933594,21.052631378173828,0,0,4.761904716491699,14869.8662109375,122111.64630126953,96832.16918945313,124.4005126953125,16567197696,2147479552,2640691200,786432
199,1740650429891,1200,1200,1200,1200,1200,1200,1200,1200,1198,1199,1200,1200,0,0,0,0,13.636363983154297,20,57.894737243652344,0,25,0,5,50,14869.984802246094,122112.56036376953,96832.91455078125,124.4005126953125,16567197696,2147479552,2641231872,786432
199,1740650430091,1200,1200,1200,1200,1200,1200,1200,1200,1198,1199,1200,1200,0,0,15.000000953674316,0,0,0,40,19.047618865966797,15.789472579956055,4.761904716491699,30.000001907348633,30.000001907348633,14870.102905273438,122113.40893554688,96833.5941772461,124.4005126953125,16567197696,2147479552,2642149376,786432
199,1740650430291,1200,1200,1200,1200,1200,1200,1200,1200,1198,1199,1200,1200,0,0,42.105262756347656,0,0,0,0,21.052631378173828,21.052631378173828,4.761904716491699,0,30.000001907348633,14870.220458984375,122114.23364257813,96834.24987792969,124.4005126953125,16567197696,2147479552,2643611648,786432
199,1740650430491,1200,1200,1200,1200,1200,1200,1200,1200,1198,1199,1200,1200,0,5,25,0,0,0,0,35,25,26.3157901763916,4.761904716491699,0,14870.33740234375,122115.05267333984,96834.90118408203,124.4005126953125,16567197696,2147479552,2639187968,786432
