Filename,engine,db_size,iteration,Joules
mysql1k1.txt,mysql,1k,1,335.28863525390625
mysql1k2.txt,mysql,1k,2,329.5050048828125
mysql1k3.txt,mysql,1k,3,330.58721923828125
mysql1k4.txt,mysql,1k,4,330.47698974609375
mysql1k5.txt,mysql,1k,5,336.56396484375
mysql1k6.txt,mysql,1k,6,335.3011474609375
mysql1k7.txt,mysql,1k,7,330.34857177734375
mysql1k8.txt,mysql,1k,8,334.4818115234375
mysql1k9.txt,mysql,1k,9,342.29376220703125
mysql1k10.txt,mysql,1k,10,329.11810302734375
mysql1k11.txt,mysql,1k,11,328.7701416015625
mysql1k12.txt,mysql,1k,12,337.0966796875
mysql1k13.txt,mysql,1k,13,333.13165283203125
mysql1k14.txt,mysql,1k,14,329.36016845703125
mysql1k15.txt,mysql,1k,15,332.78167724609375
mysql1k16.txt,mysql,1k,16,337.19952392578125
mysql1k17.txt,mysql,1k,17,341.79888916015625
mysql1k18.txt,mysql,1k,18,335.6314697265625
mysql1k19.txt,mysql,1k,19,329.9486083984375
mysql1k20.txt,mysql,1k,20,338.7823486328125
mysql1k21.txt,mysql,1k,21,329.574951171875
mysql1k22.txt,mysql,1k,22,329.68798828125
mysql1k23.txt,mysql,1k,23,340.743408203125
mysql1k24.txt,mysql,1k,24,328.7203369140625
mysql1k25.txt,mysql,1k,25,330.493408203125
mysql1k26.txt,mysql,1k,26,331.19512939453125
mysql1k27.txt,mysql,1k,27,339.94427490234375
mysql1k28.txt,mysql,1k,28,329.91571044921875
mysql1k29.txt,mysql,1k,29,330.12542724609375
mysql1k30.txt,mysql,1k,30,334.8924560546875
mysql10k1.txt,mysql,10k,1,344.12872314453125
mysql10k2.txt,mysql,10k,2,332.30712890625
mysql10k3.txt,mysql,10k,3,329.57659912109375
mysql10k4.txt,mysql,10k,4,331.03533935546875
mysql10k5.txt,mysql,10k,5,343.53912353515625
mysql10k6.txt,mysql,10k,6,344.997314453125
mysql10k7.txt,mysql,10k,7,341.76995849609375
mysql10k8.txt,mysql,10k,8,263.93389892578125
mysql10k9.txt,mysql,10k,9,337.11053466796875
mysql10k10.txt,mysql,10k,10,331.7152099609375
mysql10k11.txt,mysql,10k,11,331.3651123046875
mysql10k12.txt,mysql,10k,12,340.97149658203125
mysql10k13.txt,mysql,10k,13,337.08477783203125
mysql10k14.txt,mysql,10k,14,331.39422607421875
mysql10k15.txt,mysql,10k,15,330.26910400390625
mysql10k16.txt,mysql,10k,16,333.11480712890625
mysql10k17.txt,mysql,10k,17,337.2882080078125
mysql10k18.txt,mysql,10k,18,332.2042236328125
mysql10k19.txt,mysql,10k,19,332.622314453125
mysql10k20.txt,mysql,10k,20,331.48876953125
mysql10k21.txt,mysql,10k,21,337.2496337890625
mysql10k22.txt,mysql,10k,22,331.12603759765625
mysql10k23.txt,mysql,10k,23,330.67218017578125
mysql10k24.txt,mysql,10k,24,331.29498291015625
mysql10k25.txt,mysql,10k,25,334.34521484375
mysql10k26.txt,mysql,10k,26,338.62603759765625
mysql10k27.txt,mysql,10k,27,262.699951171875
mysql10k28.txt,mysql,10k,28,330.5009765625
mysql10k29.txt,mysql,10k,29,337.50982666015625
mysql10k30.txt,mysql,10k,30,343.45489501953125
mysql100k1.txt,mysql,100k,1,312.86224365234375
mysql100k2.txt,mysql,100k,2,351.600341796875
mysql100k3.txt,mysql,100k,3,319.356201171875
mysql100k4.txt,mysql,100k,4,347.510498046875
mysql100k5.txt,mysql,100k,5,327.06048583984375
mysql100k6.txt,mysql,100k,6,312.6048583984375
mysql100k7.txt,mysql,100k,7,312.9014892578125
mysql100k8.txt,mysql,100k,8,321.182373046875
mysql100k9.txt,mysql,100k,9,322.862060546875
mysql100k10.txt,mysql,100k,10,325.4830322265625
mysql100k11.txt,mysql,100k,11,321.83251953125
mysql100k12.txt,mysql,100k,12,262.26300048828125
mysql100k13.txt,mysql,100k,13,311.55517578125
mysql100k14.txt,mysql,100k,14,320.5611572265625
mysql100k15.txt,mysql,100k,15,314.6114501953125
mysql100k16.txt,mysql,100k,16,323.49749755859375
mysql100k17.txt,mysql,100k,17,321.29901123046875
mysql100k18.txt,mysql,100k,18,329.93560791015625
mysql100k19.txt,mysql,100k,19,322.42169189453125
mysql100k20.txt,mysql,100k,20,320.5020751953125
mysql100k21.txt,mysql,100k,21,312.0150146484375
mysql100k22.txt,mysql,100k,22,323.03179931640625
mysql100k23.txt,mysql,100k,23,320.22039794921875
mysql100k24.txt,mysql,100k,24,312.76971435546875
mysql100k25.txt,mysql,100k,25,323.82672119140625
mysql100k26.txt,mysql,100k,26,320.3653564453125
mysql100k27.txt,mysql,100k,27,321.649169921875
mysql100k28.txt,mysql,100k,28,321.59393310546875
mysql100k29.txt,mysql,100k,29,328.97760009765625
mysql100k30.txt,mysql,100k,30,262.33221435546875
pgsql1k1.txt,pgsql,1k,1,259.235107421875
pgsql1k2.txt,pgsql,1k,2,258.75714111328125
pgsql1k3.txt,pgsql,1k,3,339.62774658203125
pgsql1k4.txt,pgsql,1k,4,259.81036376953125
pgsql1k5.txt,pgsql,1k,5,340.7877197265625
pgsql1k6.txt,pgsql,1k,6,261.12371826171875
pgsql1k7.txt,pgsql,1k,7,334.87408447265625
pgsql1k8.txt,pgsql,1k,8,334.51092529296875
pgsql1k9.txt,pgsql,1k,9,265.46124267578125
pgsql1k10.txt,pgsql,1k,10,343.81591796875
pgsql1k11.txt,pgsql,1k,11,264.00384521484375
pgsql1k12.txt,pgsql,1k,12,339.17767333984375
pgsql1k13.txt,pgsql,1k,13,262.31317138671875
pgsql1k14.txt,pgsql,1k,14,269.0186767578125
pgsql1k15.txt,pgsql,1k,15,263.918212890625
pgsql1k16.txt,pgsql,1k,16,258.39404296875
pgsql1k17.txt,pgsql,1k,17,384.41693115234375
pgsql1k18.txt,pgsql,1k,18,261.465087890625
pgsql1k19.txt,pgsql,1k,19,261.17919921875
pgsql1k20.txt,pgsql,1k,20,258.51397705078125
pgsql1k21.txt,pgsql,1k,21,260.44232177734375
pgsql1k22.txt,pgsql,1k,22,257.79681396484375
pgsql1k23.txt,pgsql,1k,23,335.36602783203125
pgsql1k24.txt,pgsql,1k,24,259.71319580078125
pgsql1k25.txt,pgsql,1k,25,260.90655517578125
pgsql1k26.txt,pgsql,1k,26,343.80572509765625
pgsql1k27.txt,pgsql,1k,27,335.5677490234375
pgsql1k28.txt,pgsql,1k,28,261.791259765625
pgsql1k29.txt,pgsql,1k,29,258.4879150390625
pgsql1k30.txt,pgsql,1k,30,335.09552001953125
pgsql10k1.txt,pgsql,10k,1,337.70733642578125
pgsql10k2.txt,pgsql,10k,2,260.58380126953125
pgsql10k3.txt,pgsql,10k,3,264.88104248046875
pgsql10k4.txt,pgsql,10k,4,343.30169677734375
pgsql10k5.txt,pgsql,10k,5,340.44598388671875
pgsql10k6.txt,pgsql,10k,6,338.45751953125
pgsql10k7.txt,pgsql,10k,7,338.22747802734375
pgsql10k8.txt,pgsql,10k,8,259.919189453125
pgsql10k9.txt,pgsql,10k,9,339.58489990234375
pgsql10k10.txt,pgsql,10k,10,262.8812255859375
pgsql10k11.txt,pgsql,10k,11,259.43817138671875
pgsql10k12.txt,pgsql,10k,12,343.94525146484375
pgsql10k13.txt,pgsql,10k,13,263.83734130859375
pgsql10k14.txt,pgsql,10k,14,336.88201904296875
pgsql10k15.txt,pgsql,10k,15,258.7906494140625
pgsql10k16.txt,pgsql,10k,16,260.42987060546875
pgsql10k17.txt,pgsql,10k,17,258.90185546875
pgsql10k18.txt,pgsql,10k,18,339.3673095703125
pgsql10k19.txt,pgsql,10k,19,260.19085693359375
pgsql10k20.txt,pgsql,10k,20,340.93304443359375
pgsql10k21.txt,pgsql,10k,21,262.713134765625
pgsql10k22.txt,pgsql,10k,22,342.54412841796875
pgsql10k23.txt,pgsql,10k,23,259.78350830078125
pgsql10k24.txt,pgsql,10k,24,339.26824951171875
pgsql10k25.txt,pgsql,10k,25,259.4810791015625
pgsql10k26.txt,pgsql,10k,26,258.6185302734375
pgsql10k27.txt,pgsql,10k,27,260.802001953125
pgsql10k28.txt,pgsql,10k,28,338.74658203125
pgsql10k29.txt,pgsql,10k,29,259.2691650390625
pgsql10k30.txt,pgsql,10k,30,261.34210205078125
pgsql100k1.txt,pgsql,100k,1,395.331298828125
pgsql100k2.txt,pgsql,100k,2,393.1494140625
pgsql100k3.txt,pgsql,100k,3,258.18377685546875
pgsql100k4.txt,pgsql,100k,4,384.845947265625
pgsql100k5.txt,pgsql,100k,5,373.18316650390625
pgsql100k6.txt,pgsql,100k,6,391.08514404296875
pgsql100k7.txt,pgsql,100k,7,261.87628173828125
pgsql100k8.txt,pgsql,100k,8,387.89324951171875
pgsql100k9.txt,pgsql,100k,9,259.13360595703125
pgsql100k10.txt,pgsql,100k,10,260.0782470703125
pgsql100k11.txt,pgsql,100k,11,393.98504638671875
pgsql100k12.txt,pgsql,100k,12,272.76995849609375
pgsql100k13.txt,pgsql,100k,13,379.1998291015625
pgsql100k14.txt,pgsql,100k,14,389.41046142578125
pgsql100k15.txt,pgsql,100k,15,391.0335693359375
pgsql100k16.txt,pgsql,100k,16,262.54901123046875
pgsql100k17.txt,pgsql,100k,17,409.21417236328125
pgsql100k18.txt,pgsql,100k,18,259.3768310546875
pgsql100k19.txt,pgsql,100k,19,267.23468017578125
pgsql100k20.txt,pgsql,100k,20,371.5106201171875
pgsql100k21.txt,pgsql,100k,21,372.82855224609375
pgsql100k22.txt,pgsql,100k,22,387.35260009765625
pgsql100k23.txt,pgsql,100k,23,261.52679443359375
pgsql100k25.txt,pgsql,100k,25,260.3634033203125
pgsql100k26.txt,pgsql,100k,26,402.69921875
pgsql100k27.txt,pgsql,100k,27,258.60577392578125
pgsql100k28.txt,pgsql,100k,28,395.425048828125
pgsql100k29.txt,pgsql,100k,29,257.2867431640625
pgsql100k30.txt,pgsql,100k,30,261.59088134765625
