Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740727204195,2300,2300,2300,2300,2300,2300,1488,1488,2300,2300,1488,2300,2300,2300,1506,2300,2300,2300,2300,2300,0.9944610595703125,0.99334716796875,65.45892333984375,0.892669677734375,0.9664993286132813,0.9670562744140625,0.9653778076171875,0.9636993408203125,0.9262237548828125,0.9217529296875,25.108787536621094,0.8026199340820313,0.9989395141601563,0.9989395141601563,4.391181945800781,0.9905471801757813,64.45439147949219,1.0095672607421875,0.991668701171875,0.9927825927734375,0,260351.27490234375,240052.72271728516,4522.4825439453125,16794431488,6979321856,8452980736,0
200,1740727204195,2300,2300,2300,2300,2300,2300,1488,1488,2300,2300,1488,2300,2300,2300,1506,2300,2300,2300,2300,2300,5.6206817626953125,5.6185302734375,64.77230834960938,5.117340087890625,5.70672607421875,5.7131805419921875,5.7045745849609375,5.6959686279296875,5.614234924316406,5.577667236328125,100,5.3367462158203125,5.597023010253906,5.601325988769531,85.77297973632813,4.966766357421875,88.57363891601563,4.8807220458984375,5.50238037109375,5.5002288818359375,0,260351.35235595703,240052.76000976563,4522.4825439453125,16794431488,6979321856,8453214208,0
199,1740727204396,2300,2300,2300,2300,2300,2300,1488,1488,2300,2300,1488,2300,2300,2300,1506,2300,2300,2300,2300,2300,19.040771484375,0.5039291381835938,17.539466857910156,0.5235137939453125,3.7876052856445313,0.5154037475585938,0.5155029296875,0.51446533203125,0.5150070190429688,0.51446533203125,8.078887939453125,0.7551803588867188,13.079559326171875,0.47594451904296875,38.21104431152344,0.5149078369140625,39.08751678466797,0.5106048583984375,0.8257904052734375,0.5154495239257813,0,260355.32482910156,240056.0927734375,4522.4825439453125,16794431488,6979321856,8474820608,0
199,1740727204596,2300,2300,2300,2300,2300,2300,1488,1488,2300,2300,1488,2300,2300,2300,1506,2300,2300,2300,2300,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7437667846679688,0,11.595413208007813,0,0,0,0,260355.74938964844,240056.12823486328,4522.4825439453125,16794431488,6979321856,8474390528,0
200,1740727204796,2300,2300,2300,2300,2300,2300,1488,1488,2300,2300,1488,2300,2300,2300,1506,2300,2300,2300,2300,2300,11.881202697753906,1.065216064453125,12.510498046875,0.9162673950195313,8.427291870117188,1.0736007690429688,0.9263992309570313,0.925048828125,0.905487060546875,0.9055328369140625,27.65813446044922,4.832756042480469,4.8604583740234375,0.92779541015625,31.32110595703125,0.9013442993164063,30.652671813964844,0.9054336547851563,1.0026702880859375,0.9030914306640625,0,260358.1483154297,240057.90118408203,4522.4940185546875,16794431488,6979321856,8482410496,0
199,1740727204997,2300,2300,2300,2300,2300,2300,1488,1488,2300,2300,1488,2300,2300,2300,1506,2300,2300,2300,2300,2300,2.3566436767578125,0.9762802124023438,2.075531005859375,0.9791030883789063,0.9776687622070313,0.9777145385742188,0.9768295288085938,0.9766311645507813,0.965362548828125,0.9652633666992188,2.1279144287109375,0.9652633666992188,1.8884124755859375,1.524078369140625,44.236968994140625,0.9793930053710938,62.299537658691406,0.962493896484375,0.9646224975585938,0.9645233154296875,0,260362.57708740234,240061.53607177734,4522.497802734375,16794431488,6979321856,8481402880,0
200,1740727205197,2300,2300,2300,2300,2300,2300,1488,1488,2300,2300,1488,2300,2300,2300,1506,2300,2300,2300,2300,2300,0,0,0,0,0.7419815063476563,0,0,0,0,0,0.02765655517578125,0,0,0,40.318477630615234,0,66.11078643798828,0,0,0,0,260367.73040771484,240065.96160888672,4522.497802734375,16794431488,6979321856,8481558528,0
200,1740727205397,2300,2300,2300,2300,2300,2300,1488,1488,2300,2300,1488,2300,2300,2300,1506,2300,2300,2300,2300,2300,0.9627761840820313,0.8993072509765625,0.86767578125,0.8675765991210938,0.9042510986328125,0.903564453125,0.9074630737304688,0.9081573486328125,0.8836441040039063,0.8832473754882813,2.017333984375,0.8834457397460938,0.8811187744140625,1.7325897216796875,43.145565032958984,0.8637237548828125,65.38308715820313,0.86016845703125,0.8680267333984375,0.8679275512695313,0,260372.3604736328,240069.83514404297,4522.497802734375,16794431488,6979321856,8481124352,0
200,1740727205597,2300,2300,2300,2300,2300,2300,1488,1488,2300,2300,1488,2300,2300,2300,1506,2300,2300,2300,2300,2300,0.1779022216796875,0.1111297607421875,0.1152191162109375,0.098541259765625,0.11237335205078125,0.112274169921875,0.112274169921875,0.11127471923828125,0.10009002685546875,0.10009002685546875,0.10009002685546875,0.10009002685546875,0.09783935546875,1.0133743286132813,44.23768615722656,0.09769439697265625,61.85226821899414,0.0965423583984375,0.09938812255859375,0.09938812255859375,0,260376.76721191406,240073.53045654297,4522.498291015625,16794431488,6979321856,8482390016,0
200,1740727205798,2300,2300,2300,2300,2300,2300,1488,1488,2300,2300,1488,2300,2300,2300,1506,2300,2300,2300,2300,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.48774337768555,0,56.447662353515625,0,0,0,0,260381.05645751953,240077.10778808594,4522.498291015625,16794431488,6979321856,8484245504,0
