Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740564085792,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,2300,2300,0,0,32.372108459472656,0,0,0,0,0,0,0,4.054473876953125,0,0,0,74.4711685180664,0,53.8979606628418,0,0,0,0,58892.86358642578,151768.86944580078,1054.4230346679688,16794431488,8047271936,9907785728,0
200,1740564085792,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,2300,2300,19.71759796142578,19.72205352783203,38.6578483581543,19.354934692382813,19.952438354492188,19.962844848632813,19.96135711669922,19.950950622558594,19.665573120117188,19.650711059570313,74.29399108886719,19.836502075195313,19.69976043701172,19.702735900878906,98.02021789550781,18.98186492919922,75.56777954101563,19.170631408691406,19.86920166015625,19.870689392089844,0,58892.901611328125,151768.86944580078,1054.4230346679688,16794431488,8047271936,9907904512,0
200,1740564085992,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,2300,2300,0,0,0.9281768798828125,0,0.7818069458007813,0.06673431396484375,0,0,0,0,0.6924972534179688,0.2589569091796875,0,0,21.016830444335938,0,29.899459838867188,0,0,0,0,58893.761657714844,151769.17462158203,1054.4230346679688,16794431488,8047271936,9906536448,0
199,1740564086193,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,2300,2300,0.46186065673828125,0,0,0,0,0,0,0,0,0,0,0,0,0,4.318939208984375,0,16.17522430419922,0,0,0,0,58894.28015136719,151769.21575927734,1054.4230346679688,16794431488,8047271936,9908699136,0
199,1740564086393,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,2300,2300,0.3909149169921875,0.240386962890625,0.289886474609375,0.21179962158203125,0.21195220947265625,0.21160125732421875,0.2115478515625,0.21144866943359375,0.21125030517578125,0.21120452880859375,0.21085357666015625,0.21065521240234375,0.21349334716796875,0.21329498291015625,5.980583190917969,0.21878814697265625,18.248794555664063,0.210205078125,0.2124481201171875,0.21239471435546875,0,58894.93859863281,151769.26879882813,1054.4244384765625,16794431488,8047271936,9908592640,0
200,1740564086594,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,2300,2300,3.521514892578125,0,0,0,0,0,0,0,0,0,0,0,0,2.2808990478515625,21.50969696044922,0,32.07542419433594,0,0,0,0,58897.61218261719,151771.18817138672,1054.424560546875,16794431488,8047271936,9906991104,0
200,1740564086794,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,2300,2300,2.8279190063476563,1.4528350830078125,7.909019470214844,1.35894775390625,1.3453598022460938,1.3449630737304688,1.3513717651367188,1.3442306518554688,1.3425674438476563,1.3420791625976563,1.3475112915039063,1.3477020263671875,1.403839111328125,3.4671478271484375,26.861892700195313,1.377532958984375,26.08477020263672,1.355865478515625,1.3406143188476563,1.34027099609375,0,58899.33215332031,151772.1566772461,1054.424560546875,16794431488,8047271936,9907318784,0
200,1740564086995,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,2300,2300,1.3130111694335938,0.205291748046875,3.0282440185546875,0.18460845947265625,0.2222900390625,0.18720245361328125,0.18700408935546875,0.18665313720703125,0.1847076416015625,0.18550872802734375,0.497467041015625,0.18495941162109375,0.186553955078125,0.186553955078125,12.011360168457031,0.20245361328125,18.905929565429688,0.19188690185546875,0.1854095458984375,0.18531036376953125,0,58899.972412109375,151772.24731445313,1054.4249267578125,16794431488,8047271936,9906434048,0
199,1740564087196,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,2300,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3723297119140625,0,10.278617858886719,0,0,0,0,58900.42980957031,151772.2813720703,1054.4249267578125,16794431488,8047271936,9906499584,0
199,1740564087396,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,2300,2300,7.1901092529296875,1.0718841552734375,15.655143737792969,0.9501953125,12.497230529785156,1.285552978515625,0.9732742309570313,0.97222900390625,0.9681930541992188,0.9687881469726563,16.12366485595703,13.207382202148438,8.392654418945313,0.9672927856445313,29.861968994140625,0.9473037719726563,41.97648239135742,0.9439620971679688,2.61627197265625,0.962158203125,0,58903.2041015625,151774.26153564453,1054.439697265625,16794431488,8047271936,9922211840,0
200,1740564087596,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,2300,2300,5.655021667480469,1.1857986450195313,27.37810516357422,0.9866561889648438,0.99468994140625,0.9944915771484375,0.9944915771484375,0.99468994140625,0.99517822265625,0.9952774047851563,0.99493408203125,0.9946365356445313,8.441314697265625,4.170600891113281,51.102783203125,0.9753265380859375,46.28306579589844,0.975128173828125,3.8979949951171875,0.9799041748046875,0,58908.26672363281,151778.4818725586,1054.439697265625,16794431488,8047271936,9967337472,0
200,1740564087796,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,2300,2300,1.3461837768554688,0.27120208740234375,20.43091583251953,0.27239990234375,0.28331756591796875,0.28347015380859375,0.2807159423828125,0.2784576416015625,0.2837677001953125,0.2800140380859375,0.33238983154296875,0.27741241455078125,0.27014923095703125,2.6216659545898438,49.40587615966797,0.273956298828125,40.078224182128906,0.2723541259765625,0.27425384521484375,0.274200439453125,0,58913.98791503906,151783.3983154297,1054.4397583007813,16794431488,8047271936,9985810432,0
200,1740564087997,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,2300,2300,1.200592041015625,0.25270843505859375,22.21942138671875,0.19878387451171875,0.2016754150390625,0.20102691650390625,0.20063018798828125,0.20058441162109375,0.20542144775390625,0.20526885986328125,0.2048187255859375,0.20471954345703125,0.23789215087890625,2.4502716064453125,52.032649993896484,0.2206878662109375,43.4316520690918,0.22048187255859375,0.2225799560546875,0.22252655029296875,0,58918.577880859375,151787.1668701172,1054.4407348632813,16794431488,8047271936,9993285632,0
200,1740564088197,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,2300,2300,1.081939697265625,0,20.429244995117188,0,0,0,0,0,0,0,0,0,0,1.1377182006835938,46.41850662231445,0,46.27690124511719,0,0,0,0,58923.53332519531,151791.2911376953,1054.4407348632813,16794431488,8047271936,9996234752,0
199,1740564088397,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,2300,2300,3.7835617065429688,1.5087966918945313,22.188583374023438,1.477386474609375,1.4814682006835938,1.4814224243164063,1.4814682006835938,1.4812240600585938,1.4970779418945313,1.4970779418945313,1.4975204467773438,1.4967803955078125,1.4888534545898438,3.501190185546875,47.84064483642578,1.4871826171875,48.50848388671875,1.4817657470703125,1.4851150512695313,1.485015869140625,0,58928.62432861328,151795.56317138672,1054.4407348632813,16794431488,8047271936,9996173312,0
199,1740564088597,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,2300,2300,3.1260452270507813,0,26.955657958984375,0,0,0,0,0,0,0,0,0,0,1.3975982666015625,46.83040237426758,0,46.93539810180664,0,0,0,0,58932.73278808594,151798.84912109375,1054.4410400390625,16794431488,8047271936,9997496320,0
200,1740564088797,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,2300,2300,6.49554443359375,1.6270294189453125,33.637672424316406,0.5508804321289063,0.5679779052734375,0.567535400390625,0.5677337646484375,0.5676345825195313,0.5685272216796875,0.568572998046875,0.5682754516601563,0.56817626953125,0.877838134765625,3.65960693359375,50.57826232910156,0.5523223876953125,49.53927993774414,0.5509796142578125,0.552764892578125,0.5526657104492188,0,58938.18487548828,151803.47064208984,1054.4410400390625,16794431488,8047271936,9998479360,0
200,1740564088998,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,2300,2300,4.9587249755859375,1.645263671875,46.51539993286133,0.7143707275390625,12.4080810546875,2.369110107421875,0.9738616943359375,0.7776260375976563,0.8201370239257813,0.819244384765625,8.788078308105469,4.2751617431640625,3.475555419921875,3.1297836303710938,61.38993453979492,0.6908950805664063,62.36000442504883,0.7094345092773438,0.7559890747070313,0.7560882568359375,0,58943.26794433594,151808.0357055664,1054.4415893554688,16794431488,8047271936,9999757312,0
200,1740564089198,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,2300,2300,6.4756622314453125,0,23.833343505859375,0,0,0,0,0,0,0,0.3353118896484375,0,0,0.0037841796875,49.297000885009766,0,44.17695617675781,0,0,0,0,58948.51641845703,151812.25463867188,1054.4415893554688,16794431488,8047271936,10001285120,0
200,1740564089398,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,2300,2300,2.1646881103515625,0.34488677978515625,27.74115753173828,0.22603607177734375,0.24260711669921875,0.2425537109375,0.2425537109375,0.24225616455078125,0.22902679443359375,0.22882843017578125,0.45880889892578125,0.22857666015625,1.3351364135742188,2.4058990478515625,46.5138053894043,0.2360687255859375,41.918209075927734,0.22628021240234375,0.22967529296875,0.229827880859375,0,58953.96154785156,151816.75524902344,1054.4415893554688,16794431488,8047271936,10001403904,0
200,1740564089599,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,2300,2300,3.27447509765625,1.4836654663085938,29.756668090820313,1.4189987182617188,1.442718505859375,1.4421768188476563,1.4422225952148438,1.4410934448242188,1.435089111328125,1.434600830078125,1.4345474243164063,1.434600830078125,2.4365005493164063,3.6801528930664063,45.38689422607422,1.4195404052734375,45.784889221191406,1.419097900390625,1.4249038696289063,1.4248504638671875,0,58958.695251464844,151820.6944580078,1054.4415893554688,16794431488,8047271936,10002677760,0
200,1740564089799,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,2300,2300,1.5885543823242188,0,34.07221221923828,0,0,0,0,0,0,0,0,0,0,1.0704269409179688,51.72173309326172,0,47.92919921875,0,0,0,0,58964.77233886719,151825.93157958984,1054.4415893554688,16794431488,8047271936,10003931136,0
200,1740564089999,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,2300,2300,10.564422607421875,0.9455337524414063,28.363319396972656,0.47112274169921875,0.48504638671875,0.48494720458984375,0.4848480224609375,0.4850006103515625,0.4791107177734375,0.479156494140625,1.097747802734375,0.47920989990234375,0.839996337890625,2.2423248291015625,56.3102912902832,0.46722412109375,47.91560745239258,0.4703216552734375,0.48075103759765625,0.48075103759765625,0,58970.64343261719,151830.97778320313,1054.4415893554688,16794431488,8047271936,10004082688,0
